,Address,Routed Interface
0,all,inside dmz outside
1,dallua01-131.126.27.99,inside
2,TCGZARSQL01-158.33.187.3,dmz
3,TCGSMS01-158.33.187.35,outside
4,TCGSMS02-158.33.187.36,outside
5,host-158.33.187.37,outside
6,host-158.33.187.34,outside
7,host-158.33.187.38,outside
8,131.126.135.6_NTP,inside
9,131.126.135.7_NTP,inside
10,198.43.1.14-NTP,inside
11,198.43.1.15-NTP,inside
12,TCG_DMZ_Terminal_Server-158.33.187.11,dmz
13,AP-Lubes-Taicang-L3switch,outside
14,Host-10.128.17.196,inside
15,host-10.246.40.171,inside
16,host-158.33.155.61,inside
17,host-172.30.180.131,inside
18,host-172.30.180.132,inside
19,host-172.30.181.113,inside
20,Host-158.33.155.82,inside
21,Host-158.33.106.138,inside
22,Host-158.33.106.214,inside
23,(HT18L)158.33.187.42,outside
24,(ADSN208L)158.33.187.43,outside
25,(OCME208L)158.33.187.44,outside
26,Host-158.33.155.113,inside
27,Host-158.33.155.14,inside
28,Host-158.33.155.25,inside
29,Host-158.33.155.151,inside
30,Host-158.33.155.119,inside
31,Host-158.33.155.252,inside
32,Host-158.33.155.150,inside
33,Host-158.33.155.225,inside
34,Host-158.33.155.12,inside
35,Host-158.33.155.8,inside
36,Host-158.33.155.214,inside
37,Host-10.128.17.254,inside
38,Host_158.33.106.223,inside
39,Host_158.33.155.223,inside
40,Host-158.33.187.3,dmz
41,Host_158.33.187.45,outside
42,net-158.33.187.52n32,outside
43,net-158.33.187.53n32,outside
44,net-158.33.187.54n32,outside
45,net-158.33.187.55n32,outside
46,net-158.33.187.56n32,outside
47,net-158.33.187.57n32,outside
48,net-0.0.0.0n0,inside dmz outside
49,net-158.33.187.11n32,dmz
50,net-158.35.243.100n32,inside
51,net-158.35.243.101n32,inside
52,net-131.126.223.1n32,inside
53,net-131.126.223.2n32,inside
54,net-158.35.223.1n32,inside
55,net-158.35.223.2n32,inside
56,net-158.33.187.3n32,dmz
57,net-158.33.187.2n32,dmz
58,net-158.33.187.34n32,outside
59,net-158.33.187.38n32,outside
60,net-158.33.187.36n32,outside
61,net-158.33.187.33n32,outside
62,net-158.33.187.35n32,outside
63,net-158.33.187.37n32,outside
64,net-158.33.187.39n32,outside
65,net-158.33.187.40n32,outside
66,net-158.33.187.41n32,outside
67,host-158.33.106.63,inside
68,host-158.33.155.32,inside
69,host-158.33.155.83,inside
70,host-158.33.187.36,outside
71,host-158.33.187.11,dmz
72,host-158.33.187.2,dmz
